date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,change,changePercent,label,changeOverTime
2017-10-02,153.81,154.26,154.45,152.72,18698842,153.81,154.26,154.45,152.72,18698842,-0.31,-0.2011,"Oct 2, 17",0.720938
2017-10-03,154.48,154.01,155.09,153.91,16230293,154.48,154.01,155.09,153.91,16230293,0.67,0.4356,"Oct 3, 17",0.728434
2017-10-04,153.48,153.63,153.86,152.46,20163750,153.48,153.63,153.86,152.46,20163750,-1,-0.6473,"Oct 4, 17",0.717245
2017-10-05,155.39,154.18,155.44,154.05,21283769,155.39,154.18,155.44,154.05,21283769,1.91,1.2445,"Oct 5, 17",0.738616
2017-10-06,155.3,154.97,155.49,154.56,17407558,155.3,154.97,155.49,154.56,17407558,-0.09,-0.0579,"Oct 6, 17",0.737609
2017-10-09,155.84,155.81,156.73,155.49,16262923,155.84,155.81,156.73,155.49,16262923,0.54,0.3477,"Oct 9, 17",0.743651
2017-10-10,155.9,156.06,158,155.1,15617014,155.9,156.06,158,155.1,15617014,0.06,0.0385,"Oct 10, 17",0.744322
2017-10-11,156.55,155.97,156.98,155.75,16905640,156.55,155.97,156.98,155.75,16905640,0.65,0.4169,"Oct 11, 17",0.751595
2017-10-12,156,156.35,157.37,155.73,16125054,156,156.35,157.37,155.73,16125054,-0.55,-0.3513,"Oct 12, 17",0.745441
2017-10-13,156.99,156.73,157.28,156.41,16394188,156.99,156.73,157.28,156.41,16394188,0.99,0.6346,"Oct 13, 17",0.756518
2017-10-16,159.88,157.9,160,157.65,24121452,159.88,157.9,160,157.65,24121452,2.89,1.8409,"Oct 16, 17",0.788853
2017-10-17,160.47,159.78,160.87,159.23,18997275,160.47,159.78,160.87,159.23,18997275,0.59,0.369,"Oct 17, 17",0.795454
2017-10-18,159.76,160.42,160.71,159.6,16374164,159.76,160.42,160.71,159.6,16374164,-0.71,-0.4425,"Oct 18, 17",0.78751
2017-10-19,155.98,156.75,157.08,155.02,42584166,155.98,156.75,157.08,155.02,42584166,-3.78,-2.366,"Oct 19, 17",0.745217
2017-10-20,156.25,156.61,157.75,155.96,23974146,156.25,156.61,157.75,155.96,23974146,0.27,0.1731,"Oct 20, 17",0.748238
2017-10-23,156.17,156.89,157.69,155.5,21984327,156.17,156.89,157.69,155.5,21984327,-0.08,-0.0512,"Oct 23, 17",0.747343
2017-10-24,157.1,156.29,157.42,156.2,17757230,157.1,156.29,157.42,156.2,17757230,0.93,0.5955,"Oct 24, 17",0.757748
2017-10-25,156.41,156.91,157.55,155.27,21207098,156.41,156.91,157.55,155.27,21207098,-0.69,-0.4392,"Oct 25, 17",0.750028
2017-10-26,157.41,157.23,157.83,156.78,17000469,157.41,157.23,157.83,156.78,17000469,1,0.6393,"Oct 26, 17",0.761217
2017-10-27,163.05,159.29,163.6,158.7,44454160,163.05,159.29,163.6,158.7,44454160,5.64,3.583,"Oct 27, 17",0.824321
2017-10-30,166.72,163.89,168.07,163.72,44700772,166.72,163.89,168.07,163.72,44700772,3.67,2.2508,"Oct 30, 17",0.865384
2017-10-31,169.04,167.9,169.65,166.94,36046828,169.04,167.9,169.65,166.94,36046828,2.32,1.3916,"Oct 31, 17",0.891342
